# m3456
# underflow	  0.0000000    	  0.0000000
# overflow	 0.11751600E-01	 0.52275909E-04
# sum	 0.56914789    	 0.34352977E-03
# xmin	xmax	cross	numerror
  0.0000000    	  10.000000    	  0.0000000    	  0.0000000
  10.000000    	  20.000000    	  0.0000000    	  0.0000000
  20.000000    	  30.000000    	  0.0000000    	  0.0000000
  30.000000    	  40.000000    	  0.0000000    	  0.0000000
  40.000000    	  50.000000    	  0.0000000    	  0.0000000
  50.000000    	  60.000000    	  0.0000000    	  0.0000000
  60.000000    	  70.000000    	  0.0000000    	  0.0000000
  70.000000    	  80.000000    	  0.0000000    	  0.0000000
  80.000000    	  90.000000    	  0.0000000    	  0.0000000
  90.000000    	  100.00000    	  0.0000000    	  0.0000000
  100.00000    	  110.00000    	  0.0000000    	  0.0000000
  110.00000    	  120.00000    	  0.0000000    	  0.0000000
  120.00000    	  130.00000    	  0.0000000    	  0.0000000
  130.00000    	  140.00000    	  0.0000000    	  0.0000000
  140.00000    	  150.00000    	  0.0000000    	  0.0000000
  150.00000    	  160.00000    	  0.0000000    	  0.0000000
  160.00000    	  170.00000    	  0.0000000    	  0.0000000
  170.00000    	  180.00000    	  0.0000000    	  0.0000000
  180.00000    	  190.00000    	 0.37707827E-01	 0.15212377E-03
  190.00000    	  200.00000    	 0.58009395E-01	 0.10493732E-03
  200.00000    	  210.00000    	 0.57053038E-01	 0.10297290E-03
  210.00000    	  220.00000    	 0.52832705E-01	 0.96685259E-04
  220.00000    	  230.00000    	 0.47840193E-01	 0.91165295E-04
  230.00000    	  240.00000    	 0.42707204E-01	 0.85153607E-04
  240.00000    	  250.00000    	 0.37731606E-01	 0.79741309E-04
  250.00000    	  260.00000    	 0.32873262E-01	 0.74338420E-04
  260.00000    	  270.00000    	 0.28412352E-01	 0.68815454E-04
  270.00000    	  280.00000    	 0.24383150E-01	 0.63628488E-04
  280.00000    	  290.00000    	 0.20880691E-01	 0.59942689E-04
  290.00000    	  300.00000    	 0.17773891E-01	 0.54746641E-04
  300.00000    	  310.00000    	 0.15009729E-01	 0.50631869E-04
  310.00000    	  320.00000    	 0.12723471E-01	 0.47127480E-04
  320.00000    	  330.00000    	 0.10785390E-01	 0.43683915E-04
  330.00000    	  340.00000    	 0.91689703E-02	 0.40988376E-04
  340.00000    	  350.00000    	 0.76842699E-02	 0.37431052E-04
  350.00000    	  360.00000    	 0.64706877E-02	 0.35082909E-04
  360.00000    	  370.00000    	 0.56271105E-02	 0.32727735E-04
  370.00000    	  380.00000    	 0.48115976E-02	 0.30252908E-04
  380.00000    	  390.00000    	 0.41343898E-02	 0.28039624E-04
  390.00000    	  400.00000    	 0.35504608E-02	 0.26260685E-04
  400.00000    	  410.00000    	 0.31292550E-02	 0.25195204E-04
  410.00000    	  420.00000    	 0.27386582E-02	 0.23638738E-04
  420.00000    	  430.00000    	 0.24038394E-02	 0.22071930E-04
  430.00000    	  440.00000    	 0.21450648E-02	 0.20281649E-04
  440.00000    	  450.00000    	 0.18939675E-02	 0.19548141E-04
  450.00000    	  460.00000    	 0.17037526E-02	 0.18747706E-04
  460.00000    	  470.00000    	 0.15268408E-02	 0.17771802E-04
  470.00000    	  480.00000    	 0.13578227E-02	 0.16358340E-04
  480.00000    	  490.00000    	 0.12201265E-02	 0.15814933E-04
  490.00000    	  500.00000    	 0.11055766E-02	 0.15071235E-04
