# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  1.4735021    	 0.13580846E-02
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	 0.50096090E-02	 0.19169254E-03
  182.00000    	  191.00000    	 0.10813773    	 0.50825505E-03
  191.00000    	  199.00000    	 0.12468785    	 0.37110338E-03
  199.00000    	  216.00000    	 0.25449590    	 0.52160441E-03
  216.00000    	  234.00000    	 0.22162036    	 0.48994572E-03
  234.00000    	  253.00000    	 0.17902921    	 0.44786993E-03
  253.00000    	  274.00000    	 0.14524456    	 0.41047641E-03
  274.00000    	  297.00000    	 0.11281238    	 0.36152821E-03
  297.00000    	  322.00000    	 0.84928636E-01	 0.31931423E-03
  322.00000    	  350.00000    	 0.64144946E-01	 0.28150097E-03
  350.00000    	  381.00000    	 0.47169917E-01	 0.24009639E-03
  381.00000    	  436.00000    	 0.51898849E-01	 0.25508130E-03
  436.00000    	  2000.0000    	 0.74322158E-01	 0.30950071E-03
