# pt3456
# underflow	  1.4783394    	 0.11681711E-02
# overflow	  0.0000000    	  0.0000000    
# sum	  1.4783394    	 0.11681711E-02
# xmin	xmax	cross	numerror
 0.10000000E-01	 0.12600000E-01	  0.0000000    	  0.0000000    
 0.12600000E-01	 0.15800000E-01	  0.0000000    	  0.0000000    
 0.15800000E-01	 0.20000000E-01	  0.0000000    	  0.0000000    
 0.20000000E-01	 0.25100000E-01	  0.0000000    	  0.0000000    
 0.25100000E-01	 0.31600000E-01	  0.0000000    	  0.0000000    
 0.31600000E-01	 0.39800000E-01	  0.0000000    	  0.0000000    
 0.39800000E-01	 0.50100000E-01	  0.0000000    	  0.0000000    
 0.50100000E-01	 0.63100000E-01	  0.0000000    	  0.0000000    
 0.63100000E-01	 0.79400000E-01	  0.0000000    	  0.0000000    
 0.79400000E-01	 0.10000000    	  0.0000000    	  0.0000000    
 0.10000000    	 0.12590000    	  0.0000000    	  0.0000000    
 0.12590000    	 0.15850000    	  0.0000000    	  0.0000000    
 0.15850000    	 0.19950000    	  0.0000000    	  0.0000000    
 0.19950000    	 0.25120000    	  0.0000000    	  0.0000000    
 0.25120000    	 0.31620000    	  0.0000000    	  0.0000000    
 0.31620000    	 0.39810000    	  0.0000000    	  0.0000000    
 0.39810000    	 0.50120000    	  0.0000000    	  0.0000000    
 0.50120000    	 0.63100000    	  0.0000000    	  0.0000000    
 0.63100000    	 0.79430000    	  0.0000000    	  0.0000000    
 0.79430000    	  1.0000000    	  0.0000000    	  0.0000000    
  1.0000000    	  1.2589000    	  0.0000000    	  0.0000000    
  1.2589000    	  1.5849000    	  0.0000000    	  0.0000000    
  1.5849000    	  1.9953000    	  0.0000000    	  0.0000000    
  1.9953000    	  2.5119000    	  0.0000000    	  0.0000000    
  2.5119000    	  3.1623000    	  0.0000000    	  0.0000000    
  3.1623000    	  3.9811000    	  0.0000000    	  0.0000000    
  3.9811000    	  5.0119000    	  0.0000000    	  0.0000000    
  5.0119000    	  6.3096000    	  0.0000000    	  0.0000000    
  6.3096000    	  7.9433000    	  0.0000000    	  0.0000000    
  7.9433000    	  10.000000    	  0.0000000    	  0.0000000    
  10.000000    	  12.589300    	  0.0000000    	  0.0000000    
  12.589300    	  15.848900    	  0.0000000    	  0.0000000    
  15.848900    	  19.952600    	  0.0000000    	  0.0000000    
  19.952600    	  25.118900    	  0.0000000    	  0.0000000    
  25.118900    	  31.622800    	  0.0000000    	  0.0000000    
  31.622800    	  39.810700    	  0.0000000    	  0.0000000    
  39.810700    	  50.118700    	  0.0000000    	  0.0000000    
  50.118700    	  63.095700    	  0.0000000    	  0.0000000    
  63.095700    	  79.432800    	  0.0000000    	  0.0000000    
  79.432800    	  100.00000    	  0.0000000    	  0.0000000    
  100.00000    	  125.89300    	  0.0000000    	  0.0000000    
  125.89300    	  158.48900    	  0.0000000    	  0.0000000    
  158.48900    	  199.52600    	  0.0000000    	  0.0000000    
  199.52600    	  251.18900    	  0.0000000    	  0.0000000    
  251.18900    	  316.22800    	  0.0000000    	  0.0000000    
  316.22800    	  398.10700    	  0.0000000    	  0.0000000    
  398.10700    	  501.18700    	  0.0000000    	  0.0000000    
  501.18700    	  630.95700    	  0.0000000    	  0.0000000    
  630.95700    	  794.32800    	  0.0000000    	  0.0000000    
  794.32800    	  1000.0000    	  0.0000000    	  0.0000000    
