# ptl1
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.66568544E-01	 0.29961129E-03
# sum	  1.4760504    	 0.14059727E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	  0.0000000    	  0.0000000    
  15.000000    	  30.000000    	 0.61022807E-02	 0.13004486E-03
  30.000000    	  45.000000    	 0.12090606    	 0.53173446E-03
  45.000000    	  60.000000    	 0.46363217    	 0.81870756E-03
  60.000000    	  75.000000    	 0.32724950    	 0.58862289E-03
  75.000000    	  90.000000    	 0.20866334    	 0.47954728E-03
  90.000000    	  105.00000    	 0.12742460    	 0.38498457E-03
  105.00000    	  120.00000    	 0.77227232E-01	 0.30540613E-03
  120.00000    	  135.00000    	 0.47873889E-01	 0.24682507E-03
  135.00000    	  150.00000    	 0.30402770E-01	 0.19546317E-03
