# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  1.5451181    	 0.13964153E-02
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	 0.97413752E-02	 0.12982386E-03
  182.00000    	  191.00000    	 0.11360473    	 0.38203459E-03
  191.00000    	  199.00000    	 0.13068851    	 0.39555238E-03
  199.00000    	  216.00000    	 0.26740497    	 0.54721222E-03
  216.00000    	  234.00000    	 0.23331547    	 0.51537784E-03
  234.00000    	  253.00000    	 0.18853331    	 0.46855384E-03
  253.00000    	  274.00000    	 0.15237478    	 0.42616978E-03
  274.00000    	  297.00000    	 0.11764049    	 0.38004822E-03
  297.00000    	  322.00000    	 0.87958062E-01	 0.33278062E-03
  322.00000    	  350.00000    	 0.65423619E-01	 0.29086964E-03
  350.00000    	  381.00000    	 0.47939293E-01	 0.25235085E-03
  381.00000    	  436.00000    	 0.52041179E-01	 0.26779472E-03
  436.00000    	  2000.0000    	 0.78452340E-01	 0.43509855E-03
