# ptl3
# underflow	  0.0000000    	  0.0000000    
# overflow	 0.27212556E-02	 0.12356396E-03
# sum	  1.5445181    	 0.12692348E-02
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	 0.13546004E-01	 0.16189690E-03
  15.000000    	  30.000000    	 0.38898380    	 0.73075554E-03
  30.000000    	  45.000000    	 0.82075398    	 0.81393994E-03
  45.000000    	  60.000000    	 0.22150499    	 0.46906001E-03
  60.000000    	  75.000000    	 0.54068344E-01	 0.25281001E-03
  75.000000    	  90.000000    	 0.21159032E-01	 0.17212172E-03
  90.000000    	  105.00000    	 0.10439495E-01	 0.14781801E-03
  105.00000    	  120.00000    	 0.58760569E-02	 0.12578824E-03
  120.00000    	  135.00000    	 0.35238008E-02	 0.11544990E-03
  135.00000    	  150.00000    	 0.19413666E-02	 0.91753878E-04
