# m4lpta
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	-0.15428842    	 0.15278145E-03
# xmin	xmax	cross	numerror
  20.000000    	  86.000000    	  0.0000000    	  0.0000000    
  86.000000    	  96.000000    	  0.0000000    	  0.0000000    
  96.000000    	  104.00000    	  0.0000000    	  0.0000000    
  104.00000    	  122.00000    	  0.0000000    	  0.0000000    
  122.00000    	  128.00000    	  0.0000000    	  0.0000000    
  128.00000    	  137.00000    	  0.0000000    	  0.0000000    
  137.00000    	  149.00000    	  0.0000000    	  0.0000000    
  149.00000    	  163.00000    	  0.0000000    	  0.0000000    
  163.00000    	  182.00000    	-0.39917716E-03	 0.16082816E-04
  182.00000    	  191.00000    	-0.51542966E-02	 0.50255476E-04
  191.00000    	  199.00000    	-0.70093237E-02	 0.30705365E-04
  199.00000    	  216.00000    	-0.15821274E-01	 0.44962326E-04
  216.00000    	  234.00000    	-0.14718616E-01	 0.43594489E-04
  234.00000    	  253.00000    	-0.12307979E-01	 0.40468162E-04
  253.00000    	  274.00000    	-0.10365984E-01	 0.37626366E-04
  274.00000    	  297.00000    	-0.85297030E-02	 0.34718850E-04
  297.00000    	  322.00000    	-0.71014266E-02	 0.32191765E-04
  322.00000    	  350.00000    	-0.66872541E-02	 0.31157601E-04
  350.00000    	  381.00000    	-0.78019778E-02	 0.33349043E-04
  381.00000    	  436.00000    	-0.13223924E-01	 0.42658119E-04
  436.00000    	  2000.0000    	-0.45167479E-01	 0.80592790E-04
