# ptl4
# underflow	  0.0000000    	  0.0000000    
# overflow	-0.83398723E-03	 0.19010878E-04
# sum	-0.15417741    	 0.15758891E-03
# xmin	xmax	cross	numerror
  0.0000000    	  15.000000    	-0.16641679E-01	 0.49019759E-04
  15.000000    	  30.000000    	-0.61974181E-01	 0.98128563E-04
  30.000000    	  45.000000    	-0.38327561E-01	 0.77021746E-04
  45.000000    	  60.000000    	-0.14033874E-01	 0.44273181E-04
  60.000000    	  75.000000    	-0.88248103E-02	 0.38426309E-04
  75.000000    	  90.000000    	-0.57644605E-02	 0.33673335E-04
  90.000000    	  105.00000    	-0.35700330E-02	 0.28276979E-04
  105.00000    	  120.00000    	-0.21844065E-02	 0.23419241E-04
  120.00000    	  135.00000    	-0.12572865E-02	 0.18654238E-04
  135.00000    	  150.00000    	-0.76513099E-03	 0.15547684E-04
